RunNumber,Data Type,Data Record ID,Model,Time,Missile Position - East,Missile Position - North,Missile Position - Up,Target Position - East,Target Position - North,Target Position - Up,Instance,Path
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_392.MISSILE_HELLMASKER_392,HELLMASKER,152.142,313.0411665869849,-81.55521289619892,973.2423144387834,-1446.313488061337,970.2799799933287,0.0,392,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_298.MISSILE_SOMERSAULT_298,SOMERSAULT,152.142,232.3102938129604,-124.124970775103,867.8969067102798,-1323.541479673765,2077.260651075325,0.0,298,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_71.MISSILE_HELLMASKER_71,HELLMASKER,152.142,233.0837610382167,-121.1973651376183,936.3797094269843,-2103.34821095944,1234.16900264948,0.0,71,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_200.MISSILE_HELLMASKER_200,HELLMASKER,152.142,132.707547480024,-90.94865344012294,936.5625415472814,-1675.601478040587,1291.013830528549,0.0,200,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
708,Missile_BRAVER_State_Update,MISSILE_BRAVER_259.MISSILE_BRAVER_259,BRAVER,152.142,281.8416054706128,-63.60849505983672,445.1400166036313,-1828.955776444838,2276.952653270968,0.0,259,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
708,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_26.MISSILE_HIGHWIND_26,HIGHWIND,152.142,240.5732305623948,-102.6982837471397,738.5042918601926,-959.2333485497459,1378.399518157884,0.0,26,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
947,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_400.MISSILE_HIGHWIND_400,HIGHWIND,152.142,199.001430304765,-94.60296386798939,1317.029779673929,-1664.847586425114,1544.436743714151,0.0,400,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_73.MISSILE_HELLMASKER_73,HELLMASKER,152.142,163.9679229447482,-89.78994888577758,976.1883901996171,-1410.140378215311,1201.593905005821,0.0,73,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_219.MISSILE_BRAVER_219,BRAVER,152.142,194.5795648949402,-118.1979874245498,742.1961236838071,-1602.24428573106,1585.144825092485,0.0,219,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_113.MISSILE_BRAVER_113,BRAVER,152.142,290.932151824077,-98.82041253110428,621.0811442285064,-2108.279384253464,1734.808392725148,0.0,113,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
